Date,0,1,2,3,4,5,6,7,8,9
2013-08-20 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-21 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-22 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-23 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-24 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-25 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-26 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-27 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-28 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-29 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-30 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-31 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-01 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-02 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-03 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-04 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-05 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-06 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-07 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-08 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-09 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-10 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-11 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-12 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-13 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-14 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-15 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-16 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-17 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-18 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-19 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-20 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-21 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-22 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-23 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-24 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-25 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-26 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-09-27 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
